index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, mag x, mag y, mag z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z,quatadj w, quatadj x, quatadj y, quatadj z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,abs imu accel,abs adxl accel, pad altitude, baro max alt, mag raw x, mag raw y, mag raw z, cov x, cov y, cov z, sats, status, met, filtered accel ,state,battstate,pyros fired,pyros cont,pyros state, checksum2
2654, 101,95928,95922,1773,0,0,7.109198,-0.636195,68.813538,-0.095918,0.470769,59.380051,47.091492,-7.950891,-36.159019,7.156252,-0.617496,68.757462,1.805524,0.193114,0.009577,94.573272,-176.685984,-117.897425,0.619089,-0.591846,0.331538,0.395637,0.619089,-0.591846,0.331538,0.395637,2119.244385,80501.984375,66.516083,123.743462,169.452759,169.452759,158.302170,29.750000,33.406231,69.182716,69.131630,1949.791626,169.452759,0.470915,-0.079509,-0.361590,0.000956,0.000348,0.000335,0,1,0,59.513084,1,0.390000,0,0,0,202
2655, 101,95985,95979,1830,0,0,5.617321,0.031040,68.889664,-1.304378,-0.566645,59.302681,47.310726,-8.243204,-36.188248,5.466516,0.095736,68.901070,1.907132,0.155726,-0.081005,94.601515,-176.753753,-117.897289,0.619452,-0.591479,0.331820,0.395382,0.619452,-0.591479,0.331820,0.395382,2119.244385,80501.984375,51.490261,126.165436,169.452759,169.452759,165.175430,29.750000,33.406231,69.118309,69.117645,1949.791626,169.452759,0.463753,-0.084478,-0.370652,0.000956,0.000348,0.000335,0,1,0,59.313080,1,0.390000,0,0,0,202
2656, 101,96058,96052,1903,0,0,5.443980,0.355364,67.508438,-1.484560,-0.499726,57.909405,47.354576,-7.717041,-36.582870,5.490449,0.325502,67.249634,2.118707,0.276079,0.038067,94.638562,-176.846097,-117.896168,0.619936,-0.590983,0.332213,0.395036,0.619936,-0.590983,0.332213,0.395036,2130.812744,80501.984375,46.911144,129.184723,181.021118,181.021118,174.438141,29.750000,33.406231,67.728523,67.474174,1949.791626,181.021118,0.473546,-0.077170,-0.365829,0.000956,0.000349,0.000335,0,1,0,58.505199,1,0.390000,0,0,0,202
2657, 101,96115,96110,1960,0,0,6.417018,-0.710415,67.295822,0.017471,-0.164337,57.803608,47.383804,-8.374743,-37.035954,6.510036,-0.813755,67.292709,2.195385,0.273291,0.012553,94.668970,-176.927321,-117.893313,0.620342,-0.590553,0.332576,0.394736,0.620342,-0.590553,0.332576,0.394736,2142.743652,80501.984375,57.399963,131.617401,192.952026,192.952026,182.504639,29.750000,33.406231,67.604805,67.611771,1949.791626,192.952026,0.473838,-0.083747,-0.370360,0.000956,0.000349,0.000335,0,1,0,57.785950,1,0.390000,0,0,0,202
2658, 101,96188,96182,2033,0,0,5.955035,-0.226066,66.663971,-0.476272,-0.337548,57.126259,47.179188,-8.462438,-36.831337,5.940408,-0.210619,66.646500,2.227239,0.222545,-0.034420,94.708564,-177.026728,-117.892098,0.620860,-0.590019,0.333000,0.394363,0.620860,-0.590019,0.333000,0.394363,2142.743652,80501.984375,34.104443,134.471802,192.952026,192.952026,190.925735,29.750000,33.406231,66.929802,66.911049,1949.791626,192.952026,0.471792,-0.084624,-0.368313,0.000956,0.000350,0.000335,0,1,0,57.175549,1,0.390000,0,0,0,202
2659, 101,96245,96239,2090,0,0,5.693211,-0.181130,64.729240,-0.796919,-1.007311,56.203156,46.594563,-7.892429,-36.363636,5.940408,-0.196258,64.262665,2.449254,0.273910,0.027526,94.743077,-177.112133,-117.890868,0.621305,-0.589557,0.333364,0.394045,0.621305,-0.589557,0.333364,0.394045,2154.951904,80501.984375,45.295830,136.809586,205.160278,205.160278,198.907639,29.750000,33.406231,64.979385,64.536942,1949.791626,205.160278,0.465946,-0.078924,-0.363636,0.000956,0.000350,0.000335,0,1,0,56.269936,1,0.390000,0,0,0,202
2660, 101,96318,96312,2163,0,0,5.916979,-0.202551,63.886578,-0.152439,-0.219333,54.358761,46.799183,-8.199357,-35.895939,5.916473,-0.205832,63.707401,2.507349,0.285299,0.029475,94.786490,-177.222700,-117.887098,0.621868,-0.588958,0.333851,0.393641,0.621868,-0.588958,0.333851,0.393641,2167.347900,80501.984375,37.590179,139.538803,217.556274,217.556274,207.276352,29.750000,33.406231,64.160316,63.981873,1949.791626,217.556274,0.467992,-0.081994,-0.358959,0.000956,0.000351,0.000335,0,1,0,54.778290,1,0.390000,0,0,0,202
2661, 101,96376,96369,2221,0,0,5.284870,-0.353847,63.315845,-0.181463,-0.839564,53.730202,47.047649,-8.330897,-36.407482,5.222389,-0.368583,63.271805,2.590249,0.300632,-0.011720,94.823687,-177.317831,-117.885035,0.622354,-0.588446,0.334264,0.393287,0.622354,-0.588446,0.334264,0.393287,2167.347900,80501.984375,45.470604,141.775131,217.556274,217.556274,214.467041,29.750000,33.406231,63.537006,63.488033,1949.791626,217.556274,0.470476,-0.083309,-0.364075,0.000956,0.000351,0.000335,0,1,0,53.859184,1,0.390000,0,0,0,202
2662, 101,96448,96442,2293,0,0,5.326768,-0.247434,61.920906,-0.060307,-0.687062,52.345268,46.711487,-8.243204,-36.407482,5.370780,-0.210619,61.701740,2.718581,0.306391,0.037577,94.871239,-177.438466,-117.882030,0.622970,-0.587793,0.334788,0.392841,0.622970,-0.587793,0.334788,0.392841,2180.016357,80501.984375,48.660507,144.493958,230.224731,230.224731,224.182907,29.750000,33.406231,62.150093,61.935406,1949.791626,230.224731,0.467115,-0.082432,-0.364075,0.000956,0.000351,0.000335,0,1,0,52.851604,1,0.390000,0,0,0,202
2663, 101,96505,96500,2350,0,0,5.295875,-0.362397,60.796249,0.187093,-0.715649,51.222065,47.062263,-8.184741,-36.845951,5.265470,-0.426024,60.399727,2.831238,0.342725,0.025145,94.911673,-177.542312,-117.878833,0.623495,-0.587231,0.335245,0.392459,0.623495,-0.587231,0.335245,0.392459,2192.938721,80501.984375,50.250221,146.673035,243.147095,243.147095,231.703659,29.750000,33.406231,61.027546,60.630302,1949.791626,243.147095,0.470623,-0.081847,-0.368460,0.000956,0.000352,0.000335,0,1,0,52.151936,1,0.380000,0,0,0,202
