timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,
"1715454593.751","0.476",,,,,
"1715454593.852","0.577",,,,,
"1715454593.953","0.678",,,,,
"1715454594.054","0.779",,,,,
"1715454594.155","0.88",,,,,
"1715454594.256","0.981",,,,,
"1715454594.276",,"4","65.800003","-13.89",,
"1715454594.277",,,,,"-75",
"1715454594.358","0.08",,,,,
"1715454594.458","0.181",,,,,
"1715454594.559","0.282",,,,,
"1715454594.66","0.383",,,,,
"1715454594.761","0.484",,,,,
"1715454594.862","0.585",,,,,
"1715454594.963","0.686",,,,,
"1715454595.064","0.787",,,,,
"1715454595.165","0.888",,,,,
"1715454595.266","0.989",,,,,
"1715454595.279",,"4","55.799999","-13.12",,
"1715454595.28",,,,,"-75",
"1715454595.368","0.087",,,,,
"1715454595.468","0.188",,,,,
"1715454595.57","0.289",,,,,
"1715454595.671","0.39",,,,,
"1715454595.772","0.491",,,,,
"1715454595.872","0.592",,,,,
"1715454595.973","0.693",,,,,
"1715454596.074","0.794",,,,,
"1715454596.176","0.895",,,,,
"1715454596.276","0.996",,,,,
"1715454596.283",,"4","45.299999","-13.29",,
"1715454596.284",,,,,"-67",
"1715454596.377","0.093",,,,,
"1715454596.478","0.194",,,,,
"1715454596.579","0.295",,,,,
"1715454596.68","0.396",,,,,
"1715454596.781","0.497",,,,,
"1715454596.882","0.598",,,,,
"1715454596.983","0.699",,,,,
"1715454597.084","0.8",,,,,
"1715454597.185","0.901",,,,,
"1715454597.287","1.002","4",,,,
"1715454597.288",,,"35.900002",,,
"1715454597.289",,,,"-15.52","-69",
"1715454597.387","0.098",,,,,
"1715454597.488","0.199",,,,,
"1715454597.589","0.3",,,,,
"1715454597.69","0.401",,,,,
"1715454597.791","0.502",,,,,
"1715454597.892","0.603",,,,,
"1715454597.993","0.704",,,,,
"1715454598.094","0.805",,,,,
"1715454598.196","0.906",,,,,
"1715454598.29",,"4","28.1",,,
"1715454598.291",,,,"-10.23","-62",
"1715454598.296","0.005",,,,,
"1715454598.397","0.106",,,,,
"1715454598.498","0.207",,,,,
"1715454598.599","0.308",,,,,
"1715454598.7","0.409",,,,,
"1715454598.801","0.51",,,,,
