{uptime mp, euler x, euler y, euler z},
{196638,9.964351,-160.344701,-134.291177},
{198710,32.413858,-170.623999,-126.137871},
{200841,33.951183,-168.945672,-138.650859},
{202915,34.492066,-169.728985,-148.874177},
{204994,35.908828,-177.116709,-147.226121},
{207068,39.366263,178.857874,-148.450569},
{209149,39.406377,177.595410,-141.724376},
{211228,39.355267,-179.963040,-137.461437},
{213312,36.137991,179.233098,-147.987359},
{215390,44.858627,173.025863,-138.047754},
{217531,43.793971,176.803640,-134.930756},
{219618,63.355646,169.771401,-135.089339},
{221754,85.852315,174.682593,-119.891827},
{223811,85.865812,178.978113,-110.939389},
{225867,82.714861,-179.905393,-113.199444},
{227927,83.201977,-179.111657,-114.720199},
{230010,25.010911,177.628440,-108.551923},
{232073,20.814520,171.607588,-102.475118},
{234190,146.748732,-22.909996,76.086975},
{236251,6.538701,-27.709970,-28.853233},
{238315,107.938743,-150.093940,-89.565302},
{240380,21.168517,-40.361408,88.292865},
{242446,74.048683,-21.149011,128.359690},
{244516,80.377851,-8.975465,128.709423},
{246603,84.648228,-5.069533,123.078902},
{248674,85.765060,-2.855263,126.354019},
{250801,86.489681,-2.102821,125.627806},
{252893,86.883394,-1.670932,125.208665},
{254964,87.001242,-1.657189,125.309710},
{257036,86.813105,-1.308957,125.159173},
{259113,86.986625,-1.629069,125.002270},
{261185,86.932681,-1.536077,124.869081},
{263263,87.359800,-1.730840,124.874586},
{265345,87.250578,-1.699990,124.455185},
{267481,87.204037,-1.587498,123.858241},
{269559,86.978033,-1.352895,121.992766},
{271638,86.722393,-1.220143,121.481854},
{273715,86.953813,-1.534233,121.282863},
{275798,86.763258,-1.300177,121.349143},
{277880,86.746326,-0.975256,121.109513},
{279965,86.729182,-1.557302,123.738535},
{282051,87.016002,-1.828674,123.766921},
{284194,86.735992,-1.687277,123.410658},
{286328,87.299892,-1.674903,123.284477},
{288386,87.375960,-1.500594,123.937321},
{290443,87.080083,-1.560437,123.322344},
{292501,87.244130,-1.419534,123.483728},
{294560,87.065350,-1.723690,123.395208},
{296642,86.776167,-1.270551,123.107384},
{298704,86.948247,-1.341319,122.922204},
{300824,86.600549,-1.235810,122.982173},
{302887,86.716430,-1.315031,122.766011},
{304951,86.859680,-1.222671,122.495591},
{307018,86.944196,-1.297517,122.246029},
{309083,86.715815,-1.335725,121.985048},
{311154,86.927401,-1.796821,121.727304},
{313227,86.736668,-1.630121,121.661706},
{315297,86.794458,-1.584759,121.434903},
{317425,87.215157,-1.899595,121.087055},
{319493,87.102834,-1.674024,120.568453},
{321565,86.777717,-1.535827,120.194268},
{323657,86.864959,-1.244016,120.058429},
{325731,87.095055,-1.382023,119.740497},
{327808,86.929996,-1.198059,119.630094},
{329884,86.988251,-0.927018,119.525865},
{331959,87.119473,-1.008296,119.041605},
{334094,86.985758,-1.211198,118.708374},
{335353,86.622283,-1.144969,118.387819},
{335532,86.447252,-1.170675,118.330118},
{335713,86.305178,-1.192342,118.367315},
{335896,86.226869,-1.253241,118.403993},
{336083,86.147168,-1.148961,118.452009},
{336265,86.289243,-1.248943,118.345704},
{336469,86.299208,-1.259815,118.340472},
{336754,86.170432,-1.544688,118.182763},
{336933,86.190751,-1.714062,118.201560},
{337090,86.233228,-1.710254,118.157560},
{337248,86.123897,-1.529080,118.148339},
{337409,86.080034,-1.510443,118.202967},
{337567,86.002764,-1.415668,118.169007},
{337730,85.941327,-1.311683,118.118436},
{337893,85.796766,-1.235533,118.037075},
{338115,85.653502,-1.257658,117.961465},
{338278,85.559492,-1.261717,117.972817},
{338441,85.520628,-1.404350,118.032895},
{338608,85.523592,-1.419425,117.941739},
{338774,85.457913,-1.418655,117.844792},
{338945,85.387740,-1.346061,117.818427},
{339114,85.387740,-1.318205,117.802718},
{339283,85.392985,-1.492553,117.815422},
{339511,85.304917,-1.690535,117.831145},
{339683,85.166913,-1.571147,117.844218},
{339857,85.034831,-1.471387,117.816597},
{340027,85.058436,-1.653806,117.836281},
{340202,84.903705,-1.761121,117.969047},
{340377,84.947568,-1.800020,117.855570},
{340557,84.999778,-1.942880,117.811105},
{340736,85.106438,-2.012370,117.726083},
{340972,85.049823,-1.972457,117.654626},
{341152,85.187936,-1.976367,117.603468},
{341332,85.199104,-2.118312,117.564426},
{341514,85.218747,-2.003271,117.485374},
{341694,85.250931,-2.055733,117.462506},
{341910,85.270493,-2.068621,117.533007},
{342097,85.080033,-1.986616,117.610257},
{342339,84.792345,-1.894119,117.683763},
{342551,84.795549,-1.878868,117.563060},
{342711,84.778070,-1.897472,117.405242},
{342871,84.788336,-1.931049,117.336557},
{343031,84.771213,-1.837322,117.260333},
{343191,84.720130,-1.830536,117.200637},
{343352,84.653522,-1.745563,117.192358},
{343516,84.776219,-1.797312,117.202016},
{343683,84.809899,-1.899277,117.164928},
{343903,84.728230,-2.061918,117.128783},
{344069,84.797065,-2.064325,117.055741},
{344235,84.847888,-2.071028,117.019186},
{344404,84.778699,-2.056841,116.994747},
{344570,84.820042,-1.934155,116.848254},
{344743,84.704666,-1.901108,116.837817},
{344916,84.694195,-1.835590,116.944573},
{345111,84.678554,-1.878699,116.963492},
{345343,84.589755,-1.886240,116.746962},
