index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired checksum2
16, 101,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.295780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0, 202
17, 101,3310,0,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.295780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0, 202
18, 101,3310,1068534595,1,9700,9.327741,2.546214,-0.002311,0.000000,-9.801000,2.942722,11.754659,4.970677,14.052963,0.057147,-1.100543,559.601989,167.159837,-177.232645,56.614748,-0.101479,0.112201,0.027279,0.000000,20.862852,2003.420898,0.000000,0.000000,-0.272217,2003.693115,-0.714601,79887.804688,-0.870608,0,0.000000,0, 202
19, 101,3310,1068437060,1,13950,9.341744,2.504154,-0.013504,0.000000,-9.801000,2.875953,10.313081,5.931729,12.699157,-0.054222,0.585226,559.652095,168.837113,-168.884022,56.327638,-0.121845,0.108716,0.082725,0.000000,20.992226,2003.285645,0.000000,0.000000,-0.407471,2003.693115,-0.364825,79886.960938,-0.162060,0,0.000000,0, 202
20, 101,3310,1068292685,1,18219,9.260591,2.631121,0.002582,0.000000,-9.801000,2.878431,11.274133,4.970677,13.267867,4.041552,-23.773698,556.993239,168.088811,-168.185294,56.263103,-0.120913,0.115922,0.087545,0.000000,21.093874,2003.701416,0.124634,0.000000,0.008301,2003.693115,1.278955,79880.046875,1.580918,0,0.000000,0, 202
21, 101,1195382716,-1505256442,-1941891565,-314471936,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-254524505741284110745215502963999506432.000000,1593213440.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,33821458597808655302656.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-37778931862957161709568.000000,131073.375000,103676510208.000000,0.000000,0.000000,-3165464.500000,0.000000,112972388,0.000000,98, 202
22, 101,3310,1068627772,1,24737,9.385038,2.354783,-0.005091,0.000000,-9.801000,2.889225,10.793607,5.451203,13.243905,-0.011348,-0.417387,560.085074,167.288873,-168.414843,56.283009,-0.113353,0.121881,0.085650,0.000000,21.260202,2003.355225,0.124634,0.000000,-0.337891,2003.693115,-0.549796,79885.921875,0.368298,0,0.000000,0, 202
23, 101,3310,1068445771,1,28992,9.482359,2.909167,0.007069,0.000000,-9.801000,2.865623,11.754659,5.931729,14.231686,-2.120770,17.339760,573.678134,167.139401,-165.488230,56.054024,-0.121577,0.127305,0.109032,0.000000,21.361845,2003.226562,0.124634,0.000000,-0.466553,2003.693115,-0.376195,79885.859375,-0.138792,0,0.000000,0, 202
24, 101,1879064063,16693,1073790631,1425883264,0.000000,-30735859712.000000,4709209743174779204387672686592.000000,0.000000,-804806013072898282422226931029114880.000000,8087.919434,0.000000,0.000000,0.000000,-0.000000,-1312.437679,0.000000,489660386979959453174222634729825370112.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000000,-0.340370,0.000000,1759218604441600.000000,23963433714912854016.000000,-2950510673920.000000,0.000000,2052867322,1839238784.000000,125, 202
25, 101,3310,1068619646,1,35259,9.459796,2.027485,-0.005904,0.000000,-9.801000,2.918728,10.313081,4.970677,12.659018,-0.060765,0.584382,560.002402,166.777524,-168.571623,56.353756,-0.098522,0.124848,0.085551,0.000000,21.509686,2003.167725,0.124634,0.000000,-0.525391,2003.693115,0.411920,79890.296875,-0.489371,0,0.000000,0, 202
