timestamp(ms),TotalValid,TotalErrors,AverageRAWResult,AverageDistance,Distance,RSSI,
"1750602789.545",,"5","0","0",,,
"1750602790.258","0","5","0","0",,,
"1750602790.957","0","5","0",,,,
"1750602790.958",,,,"0",,,
"1750602791.663","0","5","0","0",,,
"1750602792.369","0","5","0","0",,,
"1750602793.076","0","5","0",,,,
"1750602793.077",,,,"0",,,
"1750602793.782","0","5",,,,,
"1750602793.783",,,"0","0",,,
"1750602794.489","0","5","0",,,,
"1750602794.49",,,,"0",,,
"1750602795.198","0","5","0","0",,,
"1750602795.904","0","5","0","0",,,
"1750602796.61","0","5","0","0",,,
"1750602797.316","0","5",,,,,
"1750602797.317",,,"0","0",,,
"1750602798.023","0","5","0","0",,,
"1750602798.73","0","5","0","0",,,
"1750602799.435","0","5",,,,,
"1750602799.436",,,"0","0",,,
"1750602800.142","0","5","0",,,,
"1750602800.143",,,,"0",,,
"1750602800.849","0","5","0",,,,
"1750602800.85",,,,"0",,,
"1750602801.555","0",,,,,,
"1750602801.556",,"5","0",,,,
"1750602801.557",,,,"0",,,
"1750602802.263","0","5","0","0",,,
"1750602802.971","0","5","0","0",,,
"1750602803.675","0",,,,,,
"1750602803.676",,"5","0","0",,,
"1750602804.382","0","5","0","0",,,
"1750602805.09","0","5","0","0",,,
"1750602805.794","0","5",,,,,
"1750602805.795",,,"0","0",,,
"1750602806.501","0","5","0",,,,
"1750602806.502",,,,"0",,,
"1750602807.209","0","5","0","0",,,
"1750602807.916","0","5","0","0",,,
"1750602808.622","0","5","0","0",,,
"1750602809.328","0","5","0","0",,,
"1750602810.034","0",,,,,,
"1750602810.035",,"5","0","0",,,
"1750602810.742","0","5","0","0",,,
"1750602811.447","0","5","0",,,,
"1750602811.448",,,,"0",,,
"1750602812.156","0","5",,,,,
"1750602812.157",,,"0","0",,,
"1750602812.861","0","5","0","0",,,
"1750602813.568","0","5","0","0",,,
"1750602814.276","0","5","0","0",,,
"1750602814.98","0","5","0","0",,,
"1750602815.687","0","5","0",,,,
"1750602815.688",,,,"0",,,
"1750602816.394","0","5","0","0",,,
"1750602817.101","0","5","0",,,,
"1750602817.102",,,,"0",,,
"1750602817.808","0","5",,,,,
"1750602817.809",,,"0","0",,,
"1750602818.514","0","5","0",,,,
