seconds, altitude, temp,volts
10.2,2164,69.0F,8.2
10.25,2166,69.0F,8.2
10.3,2168,69.0F,8.2
10.35,2169,69.0F,8.2
10.4,2171,69.0F,8.2
10.45,2172,69.0F,8.2
10.5,2173,69.0F,8.2
10.55,2174,69.0F,8.2
10.6,2176,69.0F,8.2
10.65,2177,69.0F,8.2
10.7,2178,69.0F,8.2
10.75,2180,69.0F,8.2
10.8,2179,69.0F,8.2
10.85,2182,69.0F,8.2
10.9,2183,69.0F,8.2
10.95,2183,69.0F,8.2
11,2183,69.0F,8.2
11.05,2183,69.0F,8.2
11.1,2183,69.0F,8.2
11.15,2185,69.0F,8.2
11.2,2185,69.0F,8.2
11.25,2184,69.0F,8.2
11.3,1905,69.2F,8.2
11.35,2154,69.2F,8.2
11.4,2172,69.2F,8.2
11.45,2189,69.3F,8.2
11.5,2187,69.3F,8.2
11.55,2190,69.3F,8.2
11.6,2315,69.3F,8.2
11.65,2206,69.3F,8.2
11.7,2197,69.3F,8.2
11.75,2192,69.4F,8.2
11.8,2187,69.4F,8.2
11.85,2188,69.4F,8.2
11.9,2187,69.4F,8.2
11.95,2186,69.4F,8.2
12,2186,69.4F,8.2
12.05,2183,69.4F,8.2
12.1,2180,69.4F,8.2
12.15,2178,69.4F,8.2
12.2,2178,69.4F,8.2
12.25,2174,69.4F,8.2
12.3,2175,69.4F,8.2
12.35,2176,69.4F,8.2
12.4,2176,69.3F,8.2
12.45,2175,69.4F,8.2
12.5,2176,69.4F,8.2
12.55,2176,69.4F,8.2
12.6,2177,69.3F,8.2
12.65,2178,69.3F,8.2
12.7,2177,69.3F,8.2
12.75,2175,69.3F,8.2
12.8,2173,69.3F,8.2
12.85,2164,69.3F,8.2
12.9,2164,69.3F,8.2
12.95,2161,69.3F,8.2
13,2158,69.3F,8.2
13.05,2157,69.3F,8.2
13.1,2154,69.3F,8.2
13.15,2155,69.3F,8.2
13.2,2150,69.3F,8.2
13.25,2147,69.3F,8.2
13.3,2142,69.3F,8.2
13.35,2136,69.3F,8.2
