index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,checksum2
927, 101,0,4594,1,1,0.000889,-0.083612,10.015338,0.028396,0.035523,0.214584,-0.671822,-1.839317,4.918118,-0.474281,0.712448,-0.256410,89.318473,179.831682,178.687502,0.702830,-0.711264,-0.007114,-0.009095,657.223877,94267.437500,-0.314974,0.539714,0.517395,0.301941,0.349712,8.375000,12.119133,0,5.380000,8, 202
928, 101,4759,6336,1,1,-0.101746,-0.126369,10.010794,-0.114481,-0.003969,0.210453,-1.152348,-0.878266,3.957067,-0.389968,0.599016,-0.166268,89.321403,-179.953327,177.891771,0.702793,-0.711156,-0.013372,-0.012642,657.244446,94264.960938,-0.505304,0.067283,0.517395,0.322510,0.292785,8.625000,12.200937,0,5.380000,0, 202
929, 101,8460,8450,1,1,-0.044673,-0.123658,10.014231,-0.046204,-0.008868,0.213983,-2.113400,-3.280895,4.437593,-0.260835,-1.119184,-0.424881,89.355158,179.977998,177.488094,0.702945,-0.710907,-0.015451,-0.015548,657.403748,94261.328125,0.420015,-0.009624,0.537292,0.481812,0.293877,8.625000,12.246384,0,5.380000,0, 202
930, 101,10555,10520,1,1,-0.080790,-0.113584,10.015747,-0.080857,-0.005390,0.215389,-0.671822,-0.878266,3.476542,0.008187,0.266896,-0.645412,89.408904,179.963573,176.684959,0.703149,-0.710454,-0.020335,-0.020573,656.977173,94271.359375,-0.511982,-0.185131,0.537292,0.055237,0.212110,8.750000,12.328186,0,5.380000,0, 202
931, 101,12656,12643,1,1,-0.076035,-0.126560,10.019235,0.021815,-0.030117,0.219253,-1.152348,-0.397740,4.918118,-0.225249,0.232220,-0.990134,89.479460,179.392692,176.137151,0.702416,-0.710954,-0.020944,-0.026769,657.089661,94266.843750,-0.320716,-0.032881,0.537292,0.167725,0.140640,8.750000,12.391809,0,5.380000,0, 202
932, 101,14835,14829,1,1,-0.040059,-0.099652,10.016689,0.009010,0.024187,0.216232,-0.671822,-2.800369,3.476542,-0.448409,-0.594092,-0.324428,89.312797,179.672525,175.209269,0.702936,-0.710019,-0.027977,-0.031153,656.972046,94269.156250,-0.264423,-0.138616,0.537292,0.050110,0.121034,8.875000,12.473608,0,5.380000,0, 202
933, 101,16939,16916,1,1,-0.045317,-0.123589,10.005558,0.016912,-0.014245,0.205399,0.289230,-1.358791,3.957067,-0.089689,-1.001327,0.081339,89.401056,179.579033,174.670285,0.702514,-0.710140,-0.030466,-0.035312,656.821716,94273.304688,-0.227518,0.054435,0.537292,-0.100220,0.006976,8.875000,12.537229,0,5.380000,0, 202
934, 101,19041,19038,1,1,-0.093040,-0.112059,10.021841,-0.092551,0.018564,0.221455,-0.671822,-1.839317,3.476542,0.211244,-0.563210,0.189493,89.312626,179.932892,173.974877,0.701859,-0.710374,-0.036973,-0.037354,656.921997,94269.789062,-0.468908,0.042256,0.537292,0.000061,0.010200,9.000000,12.609937,0,5.380000,0, 202
935, 101,21148,21115,1,1,0.007602,-0.132982,10.021217,0.105271,-0.031709,0.220499,-0.671822,-3.280895,4.437593,0.082654,0.097452,-0.532192,89.421035,179.353555,173.374749,0.702107,-0.709701,-0.037103,-0.044654,656.929443,94267.140625,-0.381311,0.211343,0.537292,0.007507,-0.022755,9.000000,12.664468,0,5.380000,0, 202
936, 101,23265,23248,1,1,-0.027864,-0.078949,10.012265,-0.009055,0.041331,0.211526,-3.074451,-1.839317,3.476542,-0.276527,-0.250642,-0.381083,89.335398,179.836709,172.761466,0.702826,-0.708553,-0.043522,-0.045756,656.723022,94273.250000,-0.273934,-0.121637,0.537292,-0.198914,-0.059178,9.000000,12.737174,0,5.380000,0, 202
