index,checksum,uptime mp,uptime nav,errorflag mp,errorflag NAV,accel x,accel y,accel z,accelworld x,accelworld y,accelworld z,accelhighg x,accelhighg y,accelhighg z,gyro x,gyro y,gyro z,euler x,euler y,euler z,quat w,quat x,quat y,quat z,altitude,presusre,verticalvel,filtered vvel,maxalt,altitudeagl,filtered alt,imutemp,barotemp,state,battstate,pyros fired,pyros cont,pyros state,checksum2\r
3329,101,1706213,1706202,1,1,7.296007,7.706632,-1.779734,7.240687,-0.117962,-1.841737,5.575014,7.605628,4.211873,17.995479,19.363448,103.063511,176.544025,-9.461994,-94.981758,0.040466,-0.674933,-0.732644,0.077859,655.351562,94290.89844,1.023913,0.175132,0,-295.584534,-295.65799,22.875,27.562424,0,5.32,0,202,,
3330,101,1708336,1708314,1,1,-1.876497,10.472272,-1.486979,0.014433,-1.237261,0.869979,-0.671822,10.008257,4.211873,3.979036,3.424526,-17.493014,178.618189,-6.226828,169.04557,0.05521,0.09465,-0.993955,0.006802,654.812561,94294.01563,0.137948,0.34163,0,-296.123535,-296.15274,22.75,27.548836,0,5.32,0,202,,
3331,101,1710467,1710461,1,1,-1.105388,-7.273389,0.899064,0.90295,-0.308749,-2.451052,-1.632874,-7.605628,-4.211873,-4.227221,-8.536947,-16.235469,5.443039,137.267323,-168.251793,-0.083384,0.929709,-0.054759,0.354528,654.836853,94292.07031,0.943908,0.35221,0,-296.099243,-296.292725,22.875,27.544308,0,5.32,0,202,,
3332,101,1712600,1712563,1,1,2.008789,-6.692726,-0.887417,-1.148135,0.432688,-2.864871,0.769756,-7.125102,-5.65345,-7.333569,-17.779148,-76.315937,177.20572,55.066826,-22.740898,0.112306,0.866857,0.18582,0.448796,654.941284,94292.07031,0.614377,0.051484,0,-295.994812,-296.124908,22.875,27.544308,0,5.32,0,202,,
3333,101,1714941,1714906,1,1,3.684263,16.418653,-0.117001,0.615969,-1.342163,5.135715,0.769756,16.735619,6.133976,-19.544405,-4.01438,94.938072,174.544719,51.725449,-142.859513,0.435179,0.233237,0.866676,0.071368,654.751953,94292.97656,0.036931,-0.005161,0,-296.184143,-296.309875,22.875,27.553366,0,5.32,0,202,,
3334,101,1717088,1717073,1,1,2.294935,12.93605,2.147593,2.201216,0.304658,3.324628,2.211333,9.047205,7.095027,-0.043337,-16.057099,-17.040026,2.66889,138.315347,14.578608,0.350065,0.126764,0.925707,0.06672,654.171387,94301.19531,-0.479413,0.235731,0,-296.764709,-296.652405,22.875,27.526192,0,5.32,0,202,,
3335,101,1719243,1719201,1,1,4.565918,-7.828914,-0.602069,1.670236,-1.155383,-0.9479,4.133436,-6.644576,-4.211873,1.360154,21.109705,8.755456,176.936023,29.283456,-15.859839,0.06048,0.956999,0.140127,0.246699,654.204224,94301.24219,0.77396,0.275188,0,-296.731873,-296.811493,22.875,27.521662,0,5.32,0,202,,
3336,101,1721394,1721355,1,1,3.014923,-5.70206,0.771844,0.28604,0.524914,-3.332489,2.211333,-5.683524,-3.731347,2.186178,22.628529,-26.875643,1.794103,149.554177,151.049975,0.050998,0.935195,0.237177,0.257985,654.325684,94299.29688,-0.173589,-0.24153,0,-296.610413,-296.555634,22.875,27.517134,0,5.32,0,202,,
3337,101,1723692,1723674,1,1,6.893571,-8.2444,-0.365713,2.25018,-2.305963,0.457871,6.536066,-10.488783,-4.692398,13.908353,18.282176,26.219699,177.782953,44.232599,-20.913604,0.085943,0.909543,0.175271,0.366913,654.103638,94302.375,0.770213,-0.196744,0,-296.832458,-296.866364,22.75,27.508076,0,5.32,0,202,,
3338,101,1725769,1725732,1,1,7.400495,-7.402955,0.076854,1.379597,-0.461226,0.565337,9.419221,-5.683524,-4.692398,6.712327,16.789764,64.296655,176.476898,40.998648,-35.304596,0.133581,0.888886,0.294161,0.324818,653.71167,94303.5,0.769914,-0.423346,0,-297.224426,-297.339691,22.75,27.49449,0,5.32,0,202,,
