index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2\r
2899, 101,1021965,1021960,1,1,-0.147828,0.059045,9.806684,-0.006632,-0.017996,0.006957,10.860798,4.888044,1.554438,-0.028001,-0.141947,-0.385596,90.932699,179.614536,138.910051,0.666048,-0.658184,-0.243887,-0.252374,651.841431,94326.914062,0.561617,0.188935,2.927917,0.077942,-0.106837,31.875000,37.052711,0,2.920000,0,0,0, 202
2900, 101,1024197,1024164,1,1,-0.148049,0.090656,9.811648,-0.002923,-0.000555,0.012184,10.380273,3.926993,0.593386,-0.149855,-0.425389,0.024249,90.970265,179.713219,138.922578,0.667125,-0.657154,-0.244300,-0.251815,651.705383,94326.734375,-0.005634,-0.259678,2.927917,-0.058105,-0.149361,31.750000,37.007412,0,2.920000,0,0,0, 202
2901, 101,1026332,1026294,1,1,-0.163186,0.075370,9.810702,-0.005344,-0.007396,0.011345,9.899747,5.849096,-0.367666,1.081332,-0.321998,-0.053184,91.000933,179.601655,138.945213,0.666824,-0.657551,-0.243376,-0.252468,651.659363,94329.617188,0.058483,0.103210,2.927917,-0.104126,-0.048137,31.875000,36.962109,0,2.920000,0,0,0, 202
2902, 101,1028471,1028431,1,1,-0.155955,0.080495,9.807635,0.009713,-0.001139,0.008201,10.860798,4.407518,0.593386,-0.411496,-0.121948,-0.344981,90.959084,179.563952,139.013501,0.666938,-0.657735,-0.242932,-0.252117,651.903748,94328.078125,0.130418,-0.127377,2.927917,0.140259,0.128459,31.625000,36.934925,0,2.920000,0,0,0, 202
2903, 101,1030619,1030576,1,1,-0.165340,0.083761,9.808808,-0.012744,0.007628,0.009548,9.899747,6.329622,-0.367666,-0.633174,0.475562,1.145575,90.957021,179.663686,139.163547,0.667471,-0.657850,-0.242657,-0.250668,651.728027,94329.929688,0.042859,-0.041703,2.927917,-0.035461,-0.014488,31.750000,36.889622,0,2.930000,0,0,0, 202
2904, 101,1032771,1032753,1,1,-0.164948,0.096220,9.810589,0.004002,0.014745,0.011435,10.380273,5.368570,1.073912,0.013584,0.071875,-0.346327,90.970320,179.619604,138.927277,0.667424,-0.656870,-0.243677,-0.252366,651.678589,94334.671875,-0.038730,0.136677,2.927917,-0.084900,-0.001364,31.625000,36.853378,0,2.930000,0,0,0, 202
2905, 101,1034986,1034957,1,1,-0.162812,0.097041,9.802079,0.017917,0.020945,0.002873,10.380273,3.446467,0.112860,0.005265,-0.466772,-0.007020,90.930670,179.551507,138.872868,0.666438,-0.657628,-0.243729,-0.252946,651.546997,94334.234375,-0.216380,-0.005446,2.927917,-0.216492,-0.058596,31.625000,36.821667,0,2.930000,0,0,0, 202
2906, 101,1037080,1037061,1,1,-0.163710,0.097122,9.805449,0.010051,0.004607,0.006291,10.380273,4.888044,0.112860,-0.127032,0.825261,0.131234,91.030876,179.597857,138.662689,0.666904,-0.656243,-0.245232,-0.253861,651.753662,94324.617188,1.184132,0.211366,2.927917,-0.009827,-0.268726,31.500000,36.789955,0,2.930000,0,0,0, 202
2907, 101,1039175,1039167,1,1,-0.169996,0.101230,9.800448,0.013486,0.010016,0.001431,9.419221,2.485415,0.112860,-0.163435,-0.161608,0.281956,91.042631,179.567558,138.573255,0.666451,-0.656303,-0.245293,-0.254835,651.539734,94333.437500,-0.101326,-0.121539,2.927917,-0.223755,-0.145351,31.500000,36.753712,0,2.940000,0,0,0, 202
2908, 101,1041478,1041466,1,1,-0.157671,0.086595,9.814123,-0.007024,0.028006,0.014729,10.860798,3.446467,2.034964,0.226557,-0.131361,0.388466,90.825404,179.687756,138.432006,0.665916,-0.656224,-0.246746,-0.255034,651.483154,94333.937500,0.206872,-0.054739,2.927917,-0.280334,-0.222512,31.500000,36.726528,0,2.940000,0,0,0, 202
