index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
14," 101",74076,74073,1,1,2.292636,-9.554615,0.009986,0.004162,0.001153,0.024830,0.116386,-5.027297,-7.853833,0.103729,-0.077863,-0.023373,179.939776,163.231617,-13.500864,0.116170,0.144741,0.017631,0.982468,1861.054199,81305.992188,-0.430569,-0.170585,0.969116,0.154663,0.203352,14.875000,20.013306,0,0.000000,0," 202"
15," 101",76190,76178,1,1,2.315125,-9.557080,-0.000292,-0.014838,0.007794,0.032479,-0.364140,-4.546771,-9.295410,-0.624544,-0.277711,-0.073549,179.929982,163.035454,-13.527252,0.116575,0.146406,0.017972,0.982167,1861.250732,81304.601562,0.348161,0.141513,0.969116,0.351196,0.259145,14.875000,20.026873,0,0.000000,0," 202"
16," 101",78312,78297,1,1,2.304981,-9.550165,0.023413,0.000349,-0.019819,0.023395,-2.286243,-3.585718,-8.334359,-0.010252,0.264200,0.188365,179.973449,163.031766,-13.529587,0.116539,0.146481,0.017606,0.982167,1861.091309,81308.812500,-0.400428,0.122638,0.969116,0.191772,0.238462,14.875000,20.049486,0,0.000000,0," 202"
17," 101",80436,80409,1,1,2.261830,-9.565226,-0.004625,0.010408,0.018396,0.027987,-1.325191,-5.507823,-9.295410,0.300663,-0.143114,0.156993,179.939107,163.301531,-13.375437,0.114710,0.144246,0.016674,0.982729,1861.059326,81311.070312,0.519318,-0.066423,0.969116,0.159790,0.212075,14.875000,20.072100,0,0.000000,0," 202"
18," 101",82574,82559,1,1,2.280748,-9.558487,0.023261,-0.021929,-0.002766,0.025827,-0.364140,-5.507823,-8.334359,-0.139897,0.708935,0.607499,179.835152,162.980581,-13.245163,0.115275,0.146829,0.018456,0.982248,1860.958008,81312.343750,-0.574374,-0.067252,0.969116,0.058472,0.195851,14.875000,20.094713,0,0.000000,0," 202"
19," 101",0,3565,1,1,1.880082,-9.641812,0.078345,0.000281,0.001366,0.022716,-0.844666,-5.027297,-9.295410,-0.075507,0.736874,0.886494,179.535088,179.751946,-11.033461,0.096131,0.001771,0.004184,0.995358,1861.457886,81305.359375,0.973379,25.678961,0.109619,0.004272,-0.776876,14.375000,19.741932,0,0.000000,0," 202"
20," 101",3828,4207,1,1,1.896621,-9.679687,0.058867,-0.016610,-0.005320,0.062907,-1.805717,-5.027297,-7.853833,-0.171425,-0.905469,0.000793,179.687865,179.355891,-10.985656,0.095735,0.005334,0.003249,0.995387,1861.380737,81303.835938,-0.775674,12.407547,0.118164,-0.072876,0.457885,14.625000,19.760025,0,0.000000,0," 202"
21," 101",6309,6294,1,1,1.878870,-9.655409,0.068858,0.001278,0.003059,0.035758,-0.364140,-5.507823,-7.853833,-0.223317,-0.615818,0.661639,179.581178,179.032249,-11.012387,0.095921,0.008069,0.004309,0.995347,1861.210938,81307.078125,-0.836278,0.126533,0.165771,-0.242676,-0.150953,14.625000,19.782639,0,0.000000,0," 202"
22," 101",8387,8364,1,1,1.894456,-9.661082,0.055686,0.009211,0.024829,0.044195,-1.325191,-5.027297,-9.775936,-0.271747,0.127691,0.808179,179.532533,178.728524,-11.140868,0.097108,0.010647,0.005137,0.995204,1861.213135,81307.375000,-0.538526,-0.017215,0.165771,-0.240479,-0.161531,14.750000,19.805254,0,0.000000,0," 202"
23," 101",10472,10471,1,1,1.899485,-9.636456,0.075179,0.008366,-0.001425,0.021164,-0.364140,-4.546771,-7.373307,0.130825,-0.565462,0.220450,179.570564,178.978045,-11.191869,0.097541,0.008510,0.004599,0.995184,1861.272583,81306.968750,-0.047930,0.101167,0.165771,-0.181030,-0.142960,14.750000,19.818823,0,0.000000,0," 202"
