Comment,Designator,Footprint,LCSC
10k,"R1,R3",R_0402_1005Metric,C25744
D_Schottky,D3,D_SOD-523,C2936038
LED,D1,LED_0603_1608Metric,C72041
SK1816G-AE3-R,U1,SOT-23-3,C75517
10u,C1,C_0603_1608Metric,C96446
AON7423,Q2,DFN-8_L3.0-W3.0-P0.65-BL,C99711
