index, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
832, 101,50086,50073,37946,1,1,-8.769700,0.608820,4.366360,4.114996,1.743524,-1.061988,1.730806,7.605628,10.939234,0.912706,1.760578,6.039217,18.002453,179.897784,-58.174934,-0.076830,0.480035,-0.863184,-0.136295,1990.104980,80097.328125,-1.096878,-0.693535,15.846436,-0.518555,-0.545482,15.000000,20.068207,4,5.150000,3,0,0, 202
833, 101,50139,50134,37999,1,1,-8.845060,0.753965,4.385996,4.022474,1.711515,-0.916692,1.730806,9.047205,10.458709,-1.638762,-0.467910,-2.354181,18.064168,179.943314,-58.214693,-0.076793,0.480348,-0.862914,-0.136924,1989.992065,80101.109375,-1.247741,-0.730485,15.846436,-0.631470,-0.549443,15.000000,20.072754,4,5.150000,3,0,0, 202
834, 101,50191,50176,38051,1,1,-8.930048,0.617155,4.350813,4.177501,1.667174,-0.922643,2.211333,8.566679,11.900286,-3.163938,-0.368538,-1.982438,18.137711,179.963928,-58.246767,-0.076985,0.480565,-0.862678,-0.137543,1989.970947,80100.960938,-1.605039,-0.764747,15.846436,-0.652588,-0.577909,15.000000,20.077301,4,5.150000,3,0,0, 202
835, 101,50243,50238,38103,1,1,-8.853575,0.341200,4.433909,4.368808,1.800946,-1.092851,3.172385,8.086153,10.939234,-0.036035,-2.095488,1.031883,18.240997,-179.969665,-58.232000,-0.076900,0.480464,-0.862571,-0.138608,1989.933472,80100.429688,-1.257247,-0.917223,15.846436,-0.690063,-0.585656,15.000000,20.063660,4,5.150000,3,0,0, 202
836, 101,50294,50281,38154,1,1,-8.985293,0.911772,4.321167,3.973795,1.554557,-0.743869,2.211333,8.086153,10.939234,-1.789186,-2.846146,4.956787,18.314949,-179.989118,-58.096387,-0.077192,0.479370,-0.863062,-0.139175,1989.906250,80099.296875,-1.308350,-0.958020,15.846436,-0.717285,-0.622138,15.000000,20.068207,4,5.150000,3,0,0, 202
837, 101,50347,50342,38207,1,1,-8.833110,0.603411,4.386836,4.167852,1.692641,-1.003487,1.250281,9.047205,11.419760,0.311615,-0.760802,0.800187,18.410925,179.968190,-58.027102,-0.077830,0.478731,-0.863264,-0.139766,1989.861328,80102.773438,-0.804514,-0.966433,15.846436,-0.762207,-0.621648,15.000000,20.081850,4,5.150000,3,0,0, 202
838, 101,50398,50385,38258,1,1,-8.757778,0.291106,4.446391,4.359272,1.818920,-1.184615,2.211333,9.047205,11.900286,-2.195411,2.426721,-7.430653,18.427331,-179.961660,-58.240005,-0.077631,0.480409,-0.862305,-0.140039,1989.869873,80100.125000,-0.663877,-1.006751,15.846436,-0.753662,-0.659628,15.000000,20.072754,4,5.150000,3,0,0, 202
839, 101,50451,50446,38311,1,1,-8.718518,0.165867,4.416507,4.455233,1.805798,-1.290089,2.691859,8.086153,11.419760,0.632884,0.995408,-1.050360,18.492023,179.941866,-58.219494,-0.078603,0.480092,-0.862378,-0.140135,1989.738525,80102.242188,-2.215761,-1.142788,15.846436,-0.885010,-0.717974,15.000000,20.068207,4,5.150000,3,0,0, 202
840, 101,50671,50667,38531,1,1,-8.770856,0.192113,4.513033,4.524761,1.923815,-1.247769,0.769756,9.047205,11.419760,8.016753,4.553667,-1.643438,17.984791,179.462073,-58.017751,-0.079853,0.478338,-0.864142,-0.134444,1989.847168,80101.804688,0.926185,-0.043412,15.846436,-0.776367,-0.667943,15.000000,20.140968,4,5.150000,3,0,0, 202
841, 101,50724,50711,38584,1,1,-8.630988,0.514222,4.539515,4.187662,1.959644,-1.199323,3.172385,8.566679,10.939234,2.628793,2.915278,2.942029,17.801664,179.395001,-57.982500,-0.079553,0.478118,-0.864544,-0.132807,1989.985596,80099.007812,-0.733597,-0.090517,15.846436,-0.637939,-0.670141,15.000000,20.136419,4,5.150000,3,0,0, 202
