, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
211, 101,16501,16492,-1561,1,1,0.961475,-9.802628,0.538357,-0.041987,-0.055492,0.063123,1.250281,-8.732251,5.172924,-4.186113,1.341498,2.561107,177.202496,-176.834527,-5.530429,0.047537,-0.028757,0.023041,0.998190,1833.601074,81668.109375,-0.669857,0.115752,1.300659,0.922485,1.031286,16.375000,20.373760,0,2.900000,0,0,0, 202
212, 101,16602,16594,-1460,1,1,0.925489,-9.781837,0.418911,0.001102,0.019998,0.033426,0.769756,-8.732251,5.653450,-1.913866,0.817706,1.377412,177.437810,-176.726582,-5.550987,0.047753,-0.029604,0.020939,0.998201,1833.777588,81663.226562,1.028295,-0.096159,1.300659,1.098999,1.012266,16.375000,20.373760,0,2.900000,0,0,0, 202
213, 101,16701,16696,-1361,1,1,0.938295,-9.821877,0.433871,-0.010405,-0.009488,0.075118,0.289230,-9.693303,6.133976,-5.291021,1.276589,2.370960,177.536369,-176.639006,-5.544409,0.047704,-0.030324,0.020045,0.998200,1833.358887,81670.648438,-4.545588,0.229194,1.300659,0.680298,1.039259,16.375000,20.387369,0,2.900000,0,0,0, 202
214, 101,16801,16798,-1261,1,1,0.932091,-9.793431,0.442546,0.059075,-0.020972,0.046437,0.289230,-8.251725,5.653450,1.436437,1.267555,-1.104298,177.522026,-176.686120,-5.930640,0.051073,-0.029988,0.020089,0.998042,1833.877441,81660.875000,4.155460,-0.784549,1.300659,1.198853,0.948283,16.375000,20.387369,0,2.900000,0,0,0, 202
215, 101,16902,16900,-1160,1,1,0.924885,-9.798639,0.478057,0.071473,-0.016917,0.052522,0.289230,-8.732251,5.172924,0.270071,-1.282562,-4.152084,177.290209,-176.831412,-5.962909,0.051325,-0.028832,0.022167,0.998020,1833.712402,81665.757812,-0.806589,0.522495,1.300659,1.033813,1.108969,16.375000,20.387369,0,2.900000,0,0,0, 202
216, 101,17001,16986,-1061,1,1,0.854199,-9.882165,0.383247,0.117031,-0.077509,0.124423,0.769756,-8.732251,5.653450,-28.221466,-4.041011,-2.700450,178.195128,-176.927595,-5.736115,0.049590,-0.027559,0.014383,0.998286,1833.584229,81666.734375,-2.752349,0.042875,1.300659,0.905640,1.031485,16.375000,20.387369,0,2.900000,0,0,0, 202
217, 101,17101,17088,-961,1,1,0.839964,-9.789078,0.248189,0.030582,0.025014,0.027104,-0.191296,-9.212777,5.653450,20.436875,3.286165,-0.647766,178.395348,-176.898457,-5.161349,0.044627,-0.027663,0.012765,0.998539,1833.677979,81667.445312,1.780695,-0.041787,1.300659,0.999390,1.024615,16.375000,20.396442,0,2.900000,0,0,0, 202
218, 101,17202,17191,-860,1,1,0.862692,-9.808014,0.333260,-0.035019,-0.027996,0.050418,1.730806,-9.693303,5.653450,-6.555626,-1.264875,2.080790,178.232543,-176.829786,-4.929996,0.042561,-0.028296,0.014214,0.998592,1833.707764,81667.312500,1.271934,0.526196,1.300659,1.029175,1.081364,16.375000,20.400978,0,2.900000,0,0,0, 202
219, 101,17301,17292,-761,1,1,0.823205,-9.760283,0.443186,0.046779,-0.020945,0.003824,0.289230,-9.212777,5.172924,10.933940,1.324018,4.148264,177.512286,-176.789734,-5.240522,0.045080,-0.028967,0.020396,0.998355,1833.645508,81669.140625,-1.067421,0.462145,1.300659,0.966919,1.078889,16.375000,20.405514,0,2.900000,0,0,0, 202
220, 101,17401,17395,-661,1,1,0.894468,-9.818250,0.426497,-0.020470,0.042376,0.067018,1.250281,-7.290674,5.172924,3.343971,0.206679,0.869228,177.279677,-176.845591,-5.222880,0.044880,-0.028569,0.022450,0.998331,1833.490723,81670.250000,-2.257722,-0.233410,1.300659,0.812134,0.996980,16.375000,20.400978,0,2.900000,0,0,0, 202
