time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw
0.0,0.0,-0.421237627,9.69803797,1.392956239,0.0,0.004856016,0.003793577,-0.003827341
0.251,0.027294824,-0.430811189,9.702826047,1.412103435,0.0,-0.001000976,0.004329864,-0.000645375
0.762,-0.025061548,-0.210618814,9.674105179,1.503052363,0.0,-0.001000976,0.004329864,-0.000645375
0.782,-0.025061548,-0.210618814,9.674105179,1.503052363,0.0,-0.001000976,0.004329864,-0.000645375
0.8290000000000001,-0.162113234,-0.320714992,9.683677828,1.498265454,0.0,0.00325856,-0.01005404,-0.002232548
0.879,-0.162113234,-0.397303668,9.669318271,1.512626034,0.0,0.004856457,0.03735023,0.005224303
0.928,-0.093463555,-0.354222549,9.707612956,1.421676961,0.0,0.002725928,0.000598604,-0.000634652
0.981,-0.043836992,-0.397303668,9.688465905,1.455184591,0.0,0.002725928,0.039480757,0.007354832
1.0299999999999998,-0.043836992,-0.368582947,9.69803797,1.349875084,0.0,-0.002600394,0.000598604,0.001495877
1.0799999999999998,-0.043836992,-0.311141431,9.688465905,1.488692075,0.0,-0.005796188,-0.047338296,-0.006493606
1.142,0.024813473,-0.382943308,9.67889092,1.440824157,0.0,-0.002600394,-0.020174053,-0.000102019
1.1849999999999998,0.066996515,-0.248913134,9.659744453,1.579641002,0.0,-0.002600795,-0.010054786,-9.91973e-05
1.234,0.066996515,-0.426024427,9.69803797,1.498265454,0.0,-0.002068163,-0.03242534,-0.003827623
1.279,0.038874466,-0.301567851,9.654958129,1.598788199,0.0,0.002725527,0.022968413,0.005759757
1.331,0.038874466,-0.359009349,9.683677828,1.464758116,0.0,0.004856056,-0.02763165,-0.004360255
1.38,0.038874466,-0.339862152,9.669318271,1.550920281,0.0,0.003790792,0.006456813,0.000433435
1.432,-0.002481344,-0.363796148,9.693251646,1.383382568,0.0,0.002192895,6.52263e-05,-0.002762358
1.48,0.024813473,-0.387730107,9.683677828,1.479118404,0.0,0.001660263,0.007522077,-0.000631829
1.533,0.024813473,-0.306354631,9.69803797,1.388169476,0.0,-0.003133427,0.001130491,-0.001164462
1.579,0.011579613,-0.382943308,9.669318271,1.541346756,0.0,-0.003133427,-0.01591374,-0.005425519
1.631,0.011579613,-0.411664029,9.683677828,1.455184591,0.0,-0.002067562,0.029361118,0.002027099
1.68,0.011579613,-0.359009349,9.688465905,1.455184591,0.0,-0.000469665,0.044274822,0.003624995
1.73,-0.02067785,-0.464318746,9.669318271,1.517412797,0.0,-0.000469665,-0.008988403,-0.001701327
1.787,0.020677891,-0.34943575,9.674105179,1.560493952,0.0,-0.00153493,-0.016977886,0.002559731
1.8359999999999999,0.020677891,-0.31592823,9.683677828,1.455184591,0.0,0.001660864,-0.005259977,0.002559731
1.879,-0.02067785,-0.368582947,9.674105179,1.426463723,0.0,6.29668e-05,0.033089545,0.007353421
