timestamp(ms),navlooprate,prof_period_us,prof_overruns,prof_loop_work_avg_us,prof_loop_work_max_us,prof_getsensordata_avg_us,prof_getsensordata_max_us,prof_imu_avg_us,prof_imu_max_us,prof_baro_avg_us,prof_baro_max_us,prof_adxl_avg_us,prof_adxl_max_us,prof_mag_avg_us,prof_mag_max_us,prof_sensor_post_avg_us,prof_sensor_post_max_us,prof_kfrun_avg_us,prof_kfrun_max_us,prof_accel_adjust_avg_us,prof_accel_adjust_max_us,loggingtime_avg_us,loggingtime_max_us,loggingtime_count,
"1779671846.389","92.755089","10000","41",,,,,,,,,,,,,,,,,,,,,,
"1779671846.391",,,,"10503.808594","12580","8223.638672",,,,,,,,,,,,,,,,,,,
"1779671846.392",,,,,,,"9326",,,,,,,,,,,,,,,,,,
"1779671846.393",,,,,,,,"4378.617188","5512",,,,,,,,,,,,,,,,
"1779671846.394",,,,,,,,,,"2189.638184","2860","902.659546","1402",,,,,,,,,,,,
"1779671846.395",,,,,,,,,,,,,,"684.914917","926",,,,,,,,,,
"1779671846.396",,,,,,,,,,,,,,,,"26.893618","89","2136.97876",,,,,,,
"1779671846.397",,,,,,,,,,,,,,,,,,,"3234","1182.199951","1333",,,,
"1779671846.895","92.942848","10000",,,,,,,,,,,,,,,,,,,,,,,
"1779671846.896",,,"41","10490.745117",,,,,,,,,,,,,,,,,,,,,
"1779671846.897",,,,,"12920","8231.680664",,,,,,,,,,,,,,,,,,,
"1779671846.898",,,,,,,"9926","4415.340332","5393",,,,,,,,,,,,,,,,
"1779671846.899",,,,,,,,,,"2176.276611","2650",,,,,,,,,,,,,,
"1779671846.9",,,,,,,,,,,,"883.659546","1070",,,,,,,,,,,,
"1779671846.901",,,,,,,,,,,,,,"686.063843","917","25.851065",,,,,,,,,
"1779671846.902",,,,,,,,,,,,,,,,,"80","2130.148926","2960",,,,,,
"1779671846.903",,,,,,,,,,,,,,,,,,,,"1298","1461",,,,
"1779671847.403","92.902092","10000",,,,,,,,,,,,,,,,,,,,,,,
"1779671847.404",,,"42","10532.34082",,,,,,,,,,,,,,,,,,,,,
"1779671847.405",,,,,"13740","8216.234375",,,,,,,,,,,,,,,,,,,
"1779671847.406",,,,,,,"9426","4383.319336","5153",,,,,,,,,,,,,,,,
"1779671847.407",,,,,,,,,,"2201.553223","2661",,,,,,,,,,,,,,
"1779671847.408",,,,,,,,,,,,"875.468079","1079","687.617004",,,,,,,,,,,
"1779671847.409",,,,,,,,,,,,,,,"887","27.553192","87",,,,,,,,
"1779671847.41",,,,,,,,,,,,,,,,,,"2168.808594","2875","1221.599976",,,,,
"1779671847.411",,,,,,,,,,,,,,,,,,,,,"1394",,,,
"1779671847.909","93.017029",,,,,,,,,,,,,,,,,,,,,,,,
"1779671847.91",,"10000","43",,,,,,,,,,,,,,,,,,,,,,
"1779671847.911",,,,"10508","12644",,,,,,,,,,,,,,,,,,,,
"1779671847.912",,,,,,"8215.957031","9732","4388.872559","5677",,,,,,,,,,,,,,,,
"1779671847.913",,,,,,,,,,"2173.851074","2591",,,,,,,,,,,,,,
"1779671847.914",,,,,,,,,,,,"885.787231","1074","697.531921",,,,,,,,,,,
"1779671847.915",,,,,,,,,,,,,,,"998","26.361702","80",,,,,,,,
"1779671847.916",,,,,,,,,,,,,,,,,,"2141.04248","2872","1239.400024",,,,,
"1779671847.917",,,,,,,,,,,,,,,,,,,,,"1427",,,,
"1779671848.416","92.962898","10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671848.417",,,,"10519.787109","12087",,,,,,,,,,,,,,,,,,,,
"1779671848.418",,,,,,"8226.552734","9276",,,,,,,,,,,,,,,,,,
"1779671848.419",,,,,,,,"4392.084961","5259","2181.510742","2548",,,,,,,,,,,,,,
"1779671848.42",,,,,,,,,,,,"896.680847","1331",,,,,,,,,,,,
"1779671848.421",,,,,,,,,,,,,,"689.106384","907","26.106382",,,,,,,,,
"1779671848.422",,,,,,,,,,,,,,,,,"68","2152.212646",,,,,,,
"1779671848.423",,,,,,,,,,,,,,,,,,,"2785","1170.800049",,,,,
"1779671848.424",,,,,,,,,,,,,,,,,,,,,"1336",,,,
"1779671848.922","92.761108","10000","39",,,,,,,,,,,,,,,,,,,,,,
"1779671848.923",,,,"10508.65918","12051",,,,,,,,,,,,,,,,,,,,
"1779671848.924",,,,,,"8215.808594","9147",,,,,,,,,,,,,,,,,,
"1779671848.925",,,,,,,,"4400.063965","5201",,,,,,,,,,,,,,,,
"1779671848.926",,,,,,,,,,"2167.702148","2571","894.553162","1221",,,,,,,,,,,,
"1779671848.927",,,,,,,,,,,,,,"684.191467","946","25.127659",,,,,,,,,
"1779671848.928",,,,,,,,,,,,,,,,,"74","2148.425537",,,,,,,
"1779671848.929",,,,,,,,,,,,,,,,,,,"2855","1181","1372",,,,
"1779671849.427","92.871895","10000",,,,,,,,,,,,,,,,,,,,,,,
"1779671849.428",,,"39",,,,,,,,,,,,,,,,,,,,,,
"1779671849.429",,,,"10500.957031","12532","8232.169922",,,,,,,,,,,,,,,,,,,
"1779671849.43",,,,,,,"9587","4390.233887","5290",,,,,,,,,,,,,,,,
"1779671849.431",,,,,,,,,,"2185.425537","2692",,,,,,,,,,,,,,
"1779671849.432",,,,,,,,,,,,"911.297852","1330","673.617004","753",,,,,,,,,,
"1779671849.433",,,,,,,,,,,,,,,,"26.914894","90",,,,,,,,
"1779671849.434",,,,,,,,,,,,,,,,,,"2150.02124","2911","1201.75",,,,,
"1779671849.435",,,,,,,,,,,,,,,,,,,,,"1403",,,,
"1779671849.934","92.952003","10000",,,,,,,,,,,,,,,,,,,,,,,
"1779671849.935",,,"42","10528.65918",,,,,,,,,,,,,,,,,,,,,
"1779671849.936",,,,,"14141","8209.936523",,,,,,,,,,,,,,,,,,,
"1779671849.937",,,,,,,"10064","4399.595703","5629",,,,,,,,,,,,,,,,
"1779671849.938",,,,,,,,,,"2176.510742","2565","886.404236",,,,,,,,,,,,,
"1779671849.939",,,,,,,,,,,,,"1076","682.723389",,,,,,,,,,,
"1779671849.94",,,,,,,,,,,,,,,"849","24.553192","82",,,,,,,,
"1779671849.941",,,,,,,,,,,,,,,,,,"2177.659668","2848","1179.400024",,,,,
"1779671849.942",,,,,,,,,,,,,,,,,,,,,"1418",,,,
"1779671850.44","93.080055",,,,,,,,,,,,,,,,,,,,,,,,
"1779671850.441",,"10000","38",,,,,,,,,,,,,,,,,,,,,,
"1779671850.443",,,,"10513.617188","12100",,,,,,,,,,,,,,,,,,,,
"1779671850.444",,,,,,"8221.87207","9595",,,,,,,,,,,,,,,,,,
"1779671850.445",,,,,,,,"4400.95752","5493","2175.574463",,,,,,,,,,,,,,,
"1779671850.446",,,,,,,,,,,"2488","885.340454","1048",,,,,,,,,,,,
"1779671850.447",,,,,,,,,,,,,,"692.340454","974","26.127659",,,,,,,,,
"1779671850.448",,,,,,,,,,,,,,,,,"79","2144.276611","2763",,,,,,
"1779671850.449",,,,,,,,,,,,,,,,,,,,"1229.199951","1537",,,,
"1779671850.949","92.65007",,,,,,,,,,,,,,,,,,,,,,,,
"1779671850.95",,"10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671850.951",,,,"10547.063477","12427",,,,,,,,,,,,,,,,,,,,
"1779671850.952",,,,,,"8251.765625","9440","4395.872559",,,,,,,,,,,,,,,,,
"1779671850.953",,,,,,,,,"5376","2189.808594","2533",,,,,,,,,,,,,,
"1779671850.954",,,,,,,,,,,,"911.659546","1208","685.48938",,,,,,,,,,,
"1779671850.955",,,,,,,,,,,,,,,"837","25.978724","84",,,,,,,,
"1779671850.956",,,,,,,,,,,,,,,,,,"2149.744629","2751","1203.400024",,,,,
"1779671850.957",,,,,,,,,,,,,,,,,,,,,"1512",,,,
