timestamp(ms),navlooprate,
"1779660274.913","51.810787",
"1779660275.123","52.238416",
"1779660275.327","51.284681",
"1779660275.531","40.394248",
"1779660275.736","39.734573",
"1779660275.955","50.347397",
"1779660276.173","50.446451",
"1779660276.377","50.112754",
"1779660276.595","50.040032",
"1779660276.814","50.415931",
"1779660277.032","50.653429",
"1779660277.25","49.987503",
"1779660277.469","50.441362",
"1779660277.687","50.258833",
"1779660277.906","50.380372",
"1779660278.111","49.726504",
"1779660278.315","50.5689",
"1779660278.533","50.147936",
"1779660278.751","50.226017",
"1779660278.956","51.626226",
"1779660279.16","52.394425",
"1779660279.364","51.775914",
"1779660279.582","51.684929",
"1779660279.801","52.197515",
"1779660280.019","51.958849",
"1779660280.238","51.392743",
"1779660280.456","51.993969",
"1779660280.659","52.007489",
"1779660280.877","51.805419",
"1779660281.082","40.703354",
"1779660281.3","51.655561",
"1779660281.505","49.69438",
"1779660281.723","50.193244",
"1779660281.928","50.07762",
"1779660282.146","50.56123",
"1779660282.351","50.663694",
"1779660282.555","50.352467",
"1779660282.773","50.296751",
"1779660282.978","50.329659",
"1779660283.182","50.140393",
"1779660283.414","50.510153",
"1779660283.604","51.485352",
"1779660283.808","51.717005",
"1779660284.433","45.438023",
"1779660284.948","45.075501",
"1779660285.068","51.915689",
"1779660285.273","52.262987",
"1779660285.477","52.151239",
"1779660285.695","51.363706",
"1779660285.914","51.738411",
"1779660286.132","51.684929",
"1779660286.342","51.594263",
"1779660286.551","40.60419",
"1779660286.756","50.291692",
"1779660286.973","50.699655",
"1779660287.192","50.205844",
"1779660287.411","49.820646",
"1779660287.63","50.558673",
"1779660287.848","50.012503",
"1779660288.052","52.137643",
"1779660288.256","52.080621",
"1779660288.474","51.797369",
"1779660288.693","51.485352",
"1779660288.91","52.050802",
"1779660289.115","51.6876",
"1779660289.319","51.692944",
"1779660289.523","51.337338",
"1779660289.733","51.274163",
