rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    1.7656,   -1.2873,    9.6186,    0.4778,   -0.1420,    0.9769,   -3.4302,   12.6254,   12.2617,   35.5000,87776.3281,    0.4979,   38.0323,   -0.1416,    0.5659,0,105416,1
0,    1.8014,   -1.2565,    9.6392,   -0.4663,    0.1397,   -1.6104,   -3.8059,   12.8175,   14.1620,   35.5000,87778.1250,    0.3304,   38.1585,   -0.2122,    0.5155,0,110434,1
0,    1.7656,   -1.2459,    9.6209,    1.0756,    1.4765,   -0.4510,   -3.4524,   13.5201,   13.5842,   35.6250,87776.2344,    0.5069,   38.2706,    0.6402,    0.5692,0,115452,1
0,    1.4304,   -1.5084,    9.6204,   -0.5480,   -0.0844,    6.3982,   -2.9478,   13.8454,    9.2224,   35.7500,87778.7109,    0.2755,   38.3781,    0.1853,    0.5552,0,120471,1
0,    1.1373,   -1.6506,    9.6475,    1.5843,   -0.0402,  -10.3302,   -2.7262,   13.6622,    1.0602,   36.0000,87774.9531,    0.6269,   38.4996,    0.2212,    0.8624,0,125489,1
0,    1.4287,   -1.5375,    9.6490,   -2.3868,   -1.3957,   17.4177,   -3.4617,   15.4830,    8.4871,   36.0000,87771.8906,    0.9128,   38.6117,    0.5249,    0.9128,0,130508,1
0,    1.5159,   -1.5016,    9.6229,    1.6961,   -1.2494,    2.0424,   -2.1355,   15.1168,    9.5671,   36.1250,87775.5938,    0.5670,   38.7238,   -0.4893,    0.9479,0,135526,1
0,    1.4859,   -1.4939,    9.6210,    0.6935,   -1.2001,   -1.6091,   -2.5187,   16.0771,    9.1060,   36.1250,87774.4922,    0.6694,   38.8453,   -0.1073,    0.7091,0,140547,1
0,    1.1953,   -1.6780,    9.6445,   -0.0347,    0.4745,    0.7960,   -2.2192,   16.2770,    2.8623,   36.3750,87773.1328,    0.7967,   38.9574,    0.4553,    1.0991,0,145565,1
0,    1.3046,   -1.8140,    9.5994,    2.9510,   -2.0160,   16.6037,    1.6266,   17.2545,   21.6626,   36.5000,87772.6641,    0.8409,   39.0602,   -0.5237,    1.1936,0,150618,1
0,   -0.1477,   -0.5880,    9.7512,   -2.4687,   -0.1208,    1.7906,   -2.2579,   17.3638,  -79.3633,   36.5000,87776.5625,    0.4764,   39.1723,   -0.2870,    0.9072,0,155636,1
0,   -0.1131,   -0.6120,    9.7296,    0.4617,    1.1256,   -0.9687,   -2.2284,   17.3987,  -78.4216,   36.6250,87773.6172,    0.7521,   39.2797,    0.2896,    0.7521,0,160685,1
0,   -0.1298,   -0.5949,    9.7563,   -0.9477,    2.2563,    2.1813,   -2.4252,   18.1823,  -77.2898,   36.7500,87776.9609,    0.4391,   39.3919,   -0.5337,    0.7752,0,165708,1
0,   -0.1590,   -0.6268,    9.7481,   -1.3465,   -0.8125,   -0.1113,   -2.6768,   19.3799,  -76.5777,   36.8750,87774.8984,    0.6321,   39.4759,    0.1527,    0.8727,0,170750,1
0,   -0.1118,   -0.5401,    9.7410,    0.3561,   -0.7687,    0.3598,   -3.4896,   20.4319,  -75.5281,   37.0000,87773.2344,    0.7872,   39.6067,    0.5099,    0.9377,0,175780,1
0,    1.3445,    1.2254,    9.2890,   -6.4610,    8.5699,  -34.9263,   -0.5358,   15.1408,  164.3188,   36.8750,87775.8281,    0.5449,   39.7142,   -0.3033,    0.8076,0,180809,1
0,    3.2218,    0.1016,    9.4776,  -15.3867,   11.4464,   11.7799,  -12.5559,   25.2846,   68.5654,   37.1250,87772.2969,    0.8749,   39.8169,    0.5253,    0.9474,0,185836,1
0,    2.7563,    0.0207,    9.5429,    7.6791,  -14.7439,    4.7860,  -13.8402,   27.1460,   65.4302,   37.2500,87771.6953,    0.9309,   39.9150,    0.2206,    1.0985,0,190854,1
