rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    0.7336,   -1.3874,    9.6786,   -0.0894,   -1.5315,    0.7728,   89.1397,   68.2988,   87.7669,   42.5000,87775.0078,    0.2840,   45.2378,    0.9534,    0.4334,1,93093,1
0,    0.7180,   -1.3596,    9.6903,    0.3831,   -0.3092,    0.4147,   89.1104,   68.2223,   87.8408,   42.5000,87776.2266,    0.1696,   45.2378,    0.1679,    0.4334,1,93206,1
0,    0.6477,   -1.4542,    9.7056,   -1.7251,   -0.2921,   -0.0929,   89.0781,   68.1322,   87.9110,   42.5000,87776.8281,    0.1130,   45.2378,    0.1853,    0.4334,1,93320,1
0,    0.6889,   -1.3799,    9.6790,    0.9576,    0.6662,   -1.1222,   89.2345,   68.2043,   87.9117,   42.5000,87777.4375,    0.0570,   45.2378,   -0.4486,    0.4334,1,93433,1
0,    0.7214,   -1.3451,    9.6677,   -0.5328,   -1.2895,    1.2662,   89.2477,   68.0784,   88.0323,   42.5000,87775.6563,    0.2229,   45.2378,    0.1087,    0.4334,1,93546,1
0,    0.6843,   -1.4008,    9.7104,    0.2407,    0.5720,   -0.5800,   89.3101,   68.1331,   88.0476,   42.5000,87775.0078,    0.2840,   45.2332,    0.4837,    0.4334,1,93660,1
0,    0.6547,   -1.4565,    9.6864,    1.4399,    3.2225,   -1.3724,   89.4228,   68.3864,   87.8983,   42.5000,87775.3516,    0.2512,   45.2285,    0.6067,    0.4334,1,93773,1
0,    0.6790,   -1.4057,    9.6712,    0.5497,   -1.5447,   -0.0864,   89.6038,   68.3120,   87.9003,   42.5000,87776.2578,    0.1668,   45.2332,    0.2477,    0.4334,1,93885,1
0,    0.7271,   -1.3885,    9.6811,    1.2684,   -0.0603,    0.8407,   89.6443,   68.3057,   88.0112,   42.5000,87774.6719,    0.3152,   45.2425,    0.3632,    0.4334,1,94000,1
0,    0.7044,   -1.3903,    9.6860,    0.9619,    1.1727,   -1.2776,   89.7801,   68.3429,   87.9592,   42.5000,87775.9219,    0.1986,   45.2425,    0.3001,    0.4334,1,94112,1
0,    0.6830,   -1.4060,    9.6724,   -0.9430,   -0.4763,   -0.5248,   89.7452,   68.3476,   87.7910,   42.5000,87778.4219,   -0.0358,   45.2425,   -0.1163,    0.4334,1,94225,1
0,    0.6594,   -1.4067,    9.6799,   -2.3634,    1.5897,    0.1491,   89.6234,   68.5106,   87.8068,   42.5000,87775.2813,    0.2579,   45.2425,    0.0094,    0.4334,1,94339,1
0,    0.7263,   -1.3888,    9.6680,    1.7801,    1.2477,   -3.3891,   89.8224,   68.6393,   87.5750,   42.5000,87775.0469,    0.2800,   45.2378,    0.1429,    0.4334,1,94452,1
0,    0.7323,   -1.3406,    9.6869,    1.4870,   -0.1582,    1.1580,   89.7785,   68.6914,   87.6678,   42.5000,87775.3125,    0.2551,   45.2425,    0.6080,    0.4334,1,94564,1
0,    0.6782,   -1.4295,    9.6837,    1.1606,    0.6639,    0.8495,   89.7425,   68.6093,   87.7607,   42.5000,87777.5078,    0.0497,   45.2425,   -0.4312,    0.4334,1,94679,1
0,    0.6659,   -1.4069,    9.6780,    1.5992,   -0.9819,   -1.3801,   89.9027,   68.6338,   87.6534,   42.5000,87777.2109,    0.0780,   45.2425,   -0.4828,    0.4334,1,94791,1
0,    0.6723,   -1.4231,    9.6715,    0.4622,   -0.8396,    0.3382,   89.9204,   68.6230,   87.7057,   42.5000,87779.9766,   -0.1807,   45.2425,   -1.2336,    0.4334,1,94904,1
0,    0.6945,   -1.4000,    9.6651,   -0.3913,   -1.7465,    0.8242,   89.9785,   68.5831,   87.7806,   42.5000,87775.9219,    0.1986,   45.2378,   -0.1679,    0.4334,1,95018,1
0,    0.6495,   -1.4238,    9.6847,   -0.4962,    0.9666,    0.1638,   90.0486,   68.5561,   87.8143,   42.5000,87775.6563,    0.2229,   45.2425,   -0.1553,    0.4334,1,95131,1
0,    0.6916,   -1.4229,    9.6750,   -0.8465,    1.5589,    0.6308,   90.0728,   68.7195,   87.9119,   42.5000,87775.6563,    0.2229,   45.2378,    0.6015,    0.4334,1,95244,1
