checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,439358,439201,0,0,1.059333,0.770898,9.054623,-13.742534,-4.015850,190.929428,-20.459330,34.091965,-54.399300,-4111.000000,2443.000000,-3722.000000,94.174846,-83.663670,154.974943,0.586780,-0.325096,-0.631134,0.389451,1310.052612,86354.281250,27.728321,79.087891,79.087891,77.976952,25.250000,27.367626,3,202
101,439484,439342,0,0,1.098456,0.555955,8.747848,-15.622868,-7.577753,189.486482,-12.600700,33.279568,-64.951767,-2825.000000,2301.000000,-4444.000000,94.174846,-83.663670,154.974943,0.586780,-0.325096,-0.631134,0.389451,1313.725952,86328.226562,27.165577,82.761230,82.761230,82.043732,25.250000,27.372299,3,202
101,439610,439342,0,0,1.098456,0.555955,8.747848,-15.622868,-7.577753,189.486482,-12.600700,33.279568,-64.951767,-2825.000000,2301.000000,-4444.000000,94.174846,-83.663670,154.974943,0.586780,-0.325096,-0.631134,0.389451,1313.725952,86328.226562,27.165577,82.761230,82.761230,82.043732,25.250000,27.372299,3,202
101,439733,439480,0,0,0.768510,0.402458,8.656322,-10.897499,-8.707848,191.157420,-1.063303,32.369915,-64.250221,-937.000000,2142.000000,-4389.000000,55.016494,-84.277076,152.359582,0.458020,-0.496033,-0.474726,0.564627,1317.149536,86298.265625,27.584629,86.184814,86.184814,85.449539,25.250000,27.372299,3,202
101,439912,439683,0,0,0.443353,0.490435,26.353168,0.960615,-13.372448,202.810173,10.272434,31.065510,-42.823734,918.000000,1914.000000,-2930.000000,55.016494,-84.277076,152.359582,0.458020,-0.496033,-0.474726,0.564627,1320.549805,86230.773438,27.592632,89.585083,89.585083,91.068161,25.250000,27.386320,3,202
101,440037,439895,0,0,0.404469,1.488823,37.467537,5.309334,-13.848949,216.001358,12.631247,30.584936,-11.517100,1304.000000,1830.000000,-788.000000,172.854712,-92.357914,-74.801254,0.403104,-0.576294,-0.384024,0.598263,1324.329102,86213.843750,27.738281,93.364380,93.364380,92.653831,25.250000,27.414362,3,202
101,440165,439895,0,0,0.404469,1.488823,37.467537,5.309334,-13.848949,216.001358,12.631247,30.584936,-11.517100,1304.000000,1830.000000,-788.000000,172.854712,-92.357914,-74.801254,0.403104,-0.576294,-0.384024,0.598263,1324.329102,86213.843750,27.738281,93.364380,93.364380,92.653831,25.250000,27.414362,3,202
101,440292,440031,0,0,2.064972,1.581951,26.754255,2.320850,-16.119649,224.986691,6.550891,30.853828,17.231804,309.000000,1877.000000,1179.000000,172.854712,-92.357914,-74.801254,0.403104,-0.576294,-0.384024,0.598263,1327.979004,86178.570312,27.551138,97.014282,97.014282,97.811394,25.250000,27.386320,3,202
101,440424,440242,0,0,1.835128,0.586121,5.567651,-2.870504,3.606745,223.975399,-5.426492,30.710800,28.968138,-1651.000000,1852.000000,1982.000000,100.139644,-70.913940,162.287057,0.520020,-0.271728,-0.674497,0.448103,1331.226074,86154.265625,27.039700,100.261353,100.261353,99.577995,25.250000,27.419035,3,202
101,440558,440406,0,0,0.901061,0.854966,-2.951461,5.679331,4.660746,234.804664,-18.082186,30.830944,18.971062,-3722.000000,1873.000000,1298.000000,100.139644,-70.913940,162.287057,0.520020,-0.271728,-0.674497,0.448103,1334.259033,86127.593750,26.188429,103.294312,103.294312,104.090958,25.250000,27.390993,3,202
