checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,1297739,1297659,0,0,-0.172752,0.496239,9.889320,0.748769,0.263452,0.664215,-18.748276,40.917225,-0.263081,-3831.000000,3636.000000,-18.000000,4.958728,-86.942516,70.386056,0.609667,-0.370485,-0.579804,0.393542,1214.427002,87469.507812,-0.042620,1.709961,1.444946,1.331698,35.125000,39.167168,0,202
101,1299821,1299696,0,0,-0.168662,0.488589,9.898602,0.080710,0.412582,0.419611,-18.375509,40.768478,-0.526162,-3770.000000,3610.000000,-36.000000,4.496321,-87.005846,69.891857,0.609566,-0.370686,-0.580134,0.393022,1214.353149,87472.601562,-0.121868,1.709961,1.371094,1.328754,35.125000,39.190495,0,202
101,1301909,1301720,0,0,-0.172547,0.492947,9.890799,-0.401245,0.436220,-0.178296,-18.467175,40.745590,-0.394621,-3785.000000,3606.000000,-27.000000,5.003015,-86.968737,70.335717,0.609858,-0.370095,-0.580250,0.392954,1214.371826,87473.250000,-0.000242,1.709961,1.389771,1.427555,35.125000,39.204487,0,202
101,1303997,1303871,0,0,-0.179339,0.494052,9.891053,0.397946,-0.343519,0.184424,-18.662724,40.951550,0.277697,-3817.000000,3642.000000,19.000000,5.992301,-86.922586,71.546300,0.609114,-0.370779,-0.579506,0.394559,1214.436523,87471.460938,-0.126864,1.709961,1.454468,1.217778,35.250000,39.218483,0,202
101,1306085,1305972,0,0,-0.170158,0.505339,9.897983,0.704317,0.333440,0.346822,-18.876604,40.882900,0.482315,-3852.000000,3630.000000,33.000000,6.186912,-86.916377,71.390578,0.610306,-0.368931,-0.580646,0.392768,1214.384155,87473.312500,-0.166402,1.709961,1.402100,1.406628,35.250000,39.227814,0,202
101,1308222,1308126,0,0,-0.166523,0.506992,9.905757,-0.607429,0.373821,-0.096935,-18.540506,40.739872,-0.102309,-3797.000000,3605.000000,-7.000000,5.619921,-86.884268,71.210432,0.609245,-0.370910,-0.579120,0.394800,1214.430542,87471.804688,0.100561,1.709961,1.448486,1.390508,35.125000,39.232479,0,202
101,1310304,1310151,0,0,-0.179371,0.488063,9.890720,-0.120125,-0.295824,0.391826,-18.546616,40.631168,-0.321543,-3798.000000,3586.000000,-22.000000,4.360076,-86.990587,69.820803,0.609442,-0.370993,-0.579819,0.393389,1214.282349,87473.968750,-0.085290,1.709961,1.300293,1.303538,35.250000,39.246475,0,202
101,1312438,1312287,0,0,-0.175722,0.491134,9.905979,0.676355,-0.275352,-0.202390,-18.528284,40.608284,0.321543,-3795.000000,3582.000000,22.000000,5.513516,-86.986339,70.974101,0.609234,-0.370680,-0.580027,0.393700,1214.372559,87472.773438,0.056792,1.709961,1.390503,1.410789,35.250000,39.255806,0,202
101,1314491,1314390,0,0,-0.173944,0.482772,9.897186,0.114014,0.459776,-0.006800,-18.760496,40.945827,0.730780,-3833.000000,3641.000000,50.000000,4.812412,-87.031971,70.185719,0.609456,-0.370593,-0.580399,0.392889,1214.354248,87473.117188,0.089495,1.709961,1.372192,1.373634,35.250000,39.269802,0,202
101,1316546,1316404,0,0,-0.179257,0.486867,9.892514,-0.011182,0.003708,-0.306079,-18.424397,40.694103,0.526162,-3778.000000,3597.000000,36.000000,4.871232,-87.019745,70.388972,0.609007,-0.371262,-0.579881,0.393716,1214.291260,87472.531250,-0.324191,1.709961,1.309204,1.252274,35.250000,39.279133,0,202
101,1318613,1318498,0,0,-0.177515,0.486154,9.893140,0.253445,-0.330418,0.161849,-18.644390,40.842850,-0.993861,-3814.000000,3623.000000,-68.000000,3.790010,-87.046581,69.418177,0.608707,-0.372199,-0.579450,0.393930,1214.383789,87471.656250,0.261039,1.709961,1.401733,1.133829,35.250000,39.293129,0,202
101,1320687,1320534,0,0,-0.181683,0.485218,9.896287,0.743708,0.361746,0.400349,-18.956045,40.985878,-0.599240,-3865.000000,3648.000000,-41.000000,4.295835,-87.003038,69.472327,0.610368,-0.369618,-0.580788,0.391814,1214.409424,87471.023438,0.111897,1.709961,1.427368,1.424316,35.250000,39.283798,0,202
101,1322775,1322649,0,0,-0.174133,0.491727,9.906270,-0.161567,-0.703919,-0.044010,-18.571058,40.945827,0.584624,-3802.000000,3641.000000,40.000000,3.944777,-87.022846,69.471343,0.609141,-0.371556,-0.579689,0.393515,1214.394531,87472.609375,0.169878,1.709961,1.412476,1.325631,35.125000,39.311787,0,202
101,1324897,1324817,0,0,-0.181029,0.486012,9.900462,-1.051401,-0.695433,-0.514867,-18.528284,40.802803,-0.190003,-3795.000000,3616.000000,-13.000000,5.416653,-87.014431,71.145354,0.608198,-0.372171,-0.579278,0.394995,1214.275146,87475.992188,0.018389,1.709961,1.293091,1.380651,35.250000,39.325783,0,202
101,1326960,1326837,0,0,-0.179754,0.493346,9.893831,0.748684,-0.179190,0.312702,-18.613834,40.751312,0.760012,-3809.000000,3607.000000,52.000000,4.529738,-86.994357,70.103887,0.609001,-0.371538,-0.579504,0.394022,1214.437988,87471.453125,0.202241,1.709961,1.455933,1.452652,35.250000,39.335114,0,202
